company_id,employee_count,follower_count,time_recorded
18043,1910,671703,2024-04-11 18:20:24
50396,737,15696,2024-04-11 18:20:24
9329448,85,4917,2024-04-11 18:20:55
2723848,35,4262,2024-04-11 18:20:55
1135689,166,5678,2024-04-11 18:20:55
83111,34102,801046,2024-04-11 18:20:55
33208551,275,568,2024-04-11 18:20:55
18821562,16,806,2024-04-11 18:20:55
98146975,1,2,2024-04-11 18:20:55
69905486,169,21484,2024-04-11 18:20:55
6088,5093,324306,2024-04-11 18:20:55
9246433,90,14530,2024-04-11 18:20:55
46970,660,118317,2024-04-11 18:20:55
77714976,8,228,2024-04-11 18:20:55
74475378,24,73317,2024-04-11 18:20:55
89934967,67,1357,2024-04-11 18:20:55
294483,352,9886,2024-04-11 18:20:55
11067,1096,368839,2024-04-11 18:23:17
10105,592,12465,2024-04-11 18:23:17
35232,507,2637,2024-04-11 18:23:17
2375518,292,15410,2024-04-11 18:23:17
325397,884,10366,2024-04-11 18:23:17
98514526,7,3261,2024-04-11 18:23:17
145934,180,1157,2024-04-11 18:23:17
166921,9743,160453,2024-04-11 18:23:17
26216290,57,3864,2024-04-11 18:23:17
110329,76,3744,2024-04-11 18:23:17
61677,3295,559270,2024-04-11 18:23:17
34595,4818,14723,2024-04-11 18:23:17
46797,2234,116465,2024-04-11 18:23:17
91447303,3679,647614,2024-04-11 18:23:17
2746246,12,20447,2024-04-11 18:23:17
4789153,176,8096,2024-04-11 18:23:17
10222602,1212,16491,2024-04-11 18:23:17
366720,272,7172,2024-04-11 18:23:17
15262835,1013,82949,2024-04-11 18:23:17
523480,221,63558,2024-04-11 18:23:17
2263834,2965,218470,2024-04-11 18:23:17
3652278,18,3000,2024-04-11 18:23:17
938659,20009,312830,2024-04-11 18:23:17
1907225,38,1739,2024-04-11 18:23:17
99212509,1,2,2024-04-11 18:23:17
1179682,137,3727,2024-04-11 18:23:17
10682123,69,13587,2024-04-11 18:23:17
2478347,9,757,2024-04-11 18:23:17
30154886,74,648,2024-04-11 18:23:17
11250,8103,39397,2024-04-11 18:23:17
95757,401,7870,2024-04-11 18:23:17
553718,1213,12611,2024-04-11 18:23:40
112948,143,550361,2024-04-11 18:23:40
348872,176,3919,2024-04-11 18:23:40
49648345,133,36600,2024-04-11 18:23:40
707656,1573,49038,2024-04-11 18:23:40
800969,268,2286,2024-04-11 18:23:40
15446077,187,2261,2024-04-11 18:23:40
250164,1108,24990,2024-04-11 18:23:40
4852,50961,440082,2024-04-11 18:23:40
2738154,25,78,2024-04-11 18:23:40
11135982,34007,477231,2024-04-11 18:23:40
763915,1086,20956,2024-04-11 18:23:40
1316321,4,7491,2024-04-11 18:23:40
65647,351,66675,2024-04-11 18:26:23
1586,747732,30761660,2024-04-11 18:26:23
232394,102,114807,2024-04-11 18:26:23
82565489,10,304,2024-04-11 18:26:23
11062886,14,2248,2024-04-11 18:26:23
852267,53949,341081,2024-04-11 18:26:23
15414287,18,210,2024-04-11 18:26:23
4787585,1658,61453,2024-04-11 18:26:23
5307141,12,898,2024-04-11 18:26:23
7777,2545,56967,2024-04-11 18:26:23
63440,230,17170,2024-04-11 18:26:23
4828770,76,1335,2024-04-11 18:26:23
11193064,10,2192,2024-04-11 18:26:23
1586,749112,30761659,2024-04-11 18:26:23
163787,18533,103123,2024-04-11 18:26:23
383369,87,96011,2024-04-11 18:26:23
520304,216,4381,2024-04-11 18:26:23
163082,567,7995,2024-04-11 18:26:23
26643,1912,5598,2024-04-11 18:26:23
10215930,285,17781,2024-04-11 18:26:23
2031259,106,4386,2024-04-11 18:26:23
120205,80,2502,2024-04-11 18:26:23
548383,70,2454,2024-04-11 18:26:23
1098754,263,4892,2024-04-11 18:26:23
16227,185,175953,2024-04-11 18:26:23
1884820,128,4185,2024-04-11 18:26:23
2382910,130947,9134886,2024-04-11 18:26:23
29543,1102,18354,2024-04-11 18:27:04
35477392,180,1304,2024-04-11 18:27:04
3967402,51,3521,2024-04-11 18:27:04
5688806,390,5315,2024-04-11 18:27:04
10375170,2489,86819,2024-04-11 18:27:04
8336,10500,231191,2024-04-11 18:27:04
4793263,20,26858,2024-04-11 18:27:04
35475885,105,105254,2024-04-11 18:27:04
3582403,6,334,2024-04-11 18:27:04
2382910,131002,9134886,2024-04-11 18:27:04
71235692,6,20,2024-04-11 18:27:04
2873210,780,34302,2024-04-11 18:27:04
7542,10821,271616,2024-04-11 18:27:04
165145,12016,604359,2024-04-11 18:27:04
97191599,852,12329,2024-04-11 18:27:04
208137,5696,188898,2024-04-11 18:27:04
10251910,104,1349,2024-04-11 18:27:04
7777,2546,56968,2024-04-11 18:27:04
689669,2116,58804,2024-04-11 18:27:04
493130,208,4425,2024-04-11 18:27:04
669285,544,51972,2024-04-11 18:27:04
417766,312,15617,2024-04-11 18:28:46
1468533,49,91784,2024-04-11 18:28:46
5000890,94,79215,2024-04-11 18:28:46
12178909,64,1217,2024-04-11 18:28:46
76246121,15,695,2024-04-11 18:28:46
55630,42,4715,2024-04-11 18:28:46
23997,148,107274,2024-04-11 18:28:46
18615334,13,1837,2024-04-11 18:28:46
8366018,138,15778,2024-04-11 18:28:46
599659,5,5070,2024-04-11 18:28:46
8302,30985,133101,2024-04-11 18:28:46
